"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688125","安达智能","2022-04-15","10546580","广东安达智能装备股份有限公司","C35","专用设备制造业","","",""
"688126","沪硅产业","2020-04-20","10424147","上海硅产业集团股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688127","蓝特光学","2020-09-21","10371167","浙江蓝特光学股份有限公司","C40","仪器仪表制造业","","",""
"688128","中国电研","2019-11-05","10242636","中国电器科学研究院股份有限公司","C35","专用设备制造业","","",""
"688129","东来技术","2020-10-23","10453542","东来涂料技术(上海)股份有限公司","C26","化学原料及化学制品制造业","","",""
"688130","晶华微","2022-07-29","10428679","杭州晶华微电子股份有限公司","I65","软件和信息技术服务业","","",""
"688131","皓元医药","2021-06-08","10375784","上海皓元医药股份有限公司","M73","研究和试验发展","","",""
"688132","邦彦技术","2022-09-23","10503270","邦彦技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688133","泰坦科技","2020-10-30","10301552","上海泰坦科技股份有限公司","M73","研究和试验发展","","",""
"688135","利扬芯片","2020-11-11","10149338","广东利扬芯片测试股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688136","科兴制药","2020-12-14","10510359","科兴生物制药股份有限公司","C27","医药制造业","","",""
"688137","近岸蛋白","2022-09-29","10555788","苏州近岸蛋白质科技股份有限公司","M73","研究和试验发展","","",""
"688138","清溢光电","2019-11-20","10264159","深圳清溢光电股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688139","海尔生物","2019-10-25","10461777","青岛海尔生物医疗股份有限公司","C35","专用设备制造业","","",""
"688141","杰华特","2022-12-23","10469667","杰华特微电子股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688143","长盈通","2022-12-12","10480420","武汉长盈通光电技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688146","中船特气","2023-04-21","10583733","中船(邯郸)派瑞特种气体股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688147","微导纳米","2022-12-23","10427875","江苏微导纳米科技股份有限公司","C35","专用设备制造业","","",""
"688148","芳源股份","2021-08-06","10393511","广东芳源新材料集团股份有限公司","C38","电气机械及器材制造业","","",""
"688150","莱特光电","2022-03-18","10312890","陕西莱特光电材料股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688151","华强科技","2021-12-06","10333250","湖北华强科技股份有限公司","C35","专用设备制造业","","",""
